# report_at,lat,lon,elev,dir,active,gps
2013-05-30 23:41:50,44.0349998,-92.4769974,773,0,0,1
2013-05-30 23:43:51,44.0349998,-92.4769974,923,197,0,1
2013-05-30 23:45:52,44.0349998,-92.4769974,923,197,0,1
2013-05-30 23:47:53,44.0349998,-92.4769974,923,197,0,1
2013-05-30 23:49:54,44.0349998,-92.4769974,910,142,0,1
2013-05-30 23:51:58,44.0349998,-92.4769974,910,142,0,1
2013-05-30 23:53:56,44.0349998,-92.4769974,910,142,0,1
2013-05-30 23:56:00,44.0349998,-92.4769974,910,142,0,1
2013-05-30 23:58:01,44.0349998,-92.4769974,910,142,0,1
2013-05-30 23:59:59,44.0349998,-92.4769974,910,142,0,1
2013-05-31 00:02:00,44.0349998,-92.4769974,910,142,0,1
2013-05-31 00:04:01,44.0349998,-92.4769974,910,142,0,1
2013-05-31 00:06:05,44.0349998,-92.4769974,910,142,0,1
2013-05-31 00:08:26,44.0349998,-92.4769974,944,0,0,1
2013-05-31 00:10:27,44.0349998,-92.4769974,0,0,0,0
2013-05-31 00:12:28,44.0349998,-92.4769974,0,0,0,0
2013-05-31 00:14:29,44.0349998,-92.4769974,0,0,0,0
2013-05-31 00:16:30,44.0349998,-92.4769974,0,0,0,0
2013-05-31 00:18:31,44.0349998,-92.4769974,0,0,0,0
2013-05-31 00:20:32,44.0349998,-92.4759979,850,107,0,1
2013-05-31 00:22:33,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:24:34,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:26:35,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:28:36,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:30:37,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:32:38,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:34:39,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:36:49,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:38:41,44.0349998,-92.4769974,848,86,0,1
2013-05-31 00:51:38,44.0349998,-92.4769974,1045,0,0,1
2013-05-31 00:53:39,44.0349998,-92.4769974,1045,0,0,1
2013-05-31 00:55:40,44.0349998,-92.4769974,1045,0,0,1
2013-05-31 00:57:42,44.0349998,-92.4769974,894,0,0,1
2013-05-31 00:59:42,44.0349998,-92.4769974,0,0,0,0
2013-05-31 01:01:52,44.0349998,-92.4769974,0,0,0,0
2013-05-31 01:03:47,44.0349998,-92.4769974,0,0,0,0
2013-05-31 01:05:45,44.0349998,-92.4769974,0,0,0,0
2013-05-31 01:07:46,44.0349998,-92.4759979,933,0,0,1
2013-05-31 01:09:47,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:11:48,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:13:49,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:15:50,44.0349998,-92.4769974,929,0,0,1
